Borough,Year,Quarter,Count
Harrow,2022,4.0,2928.0
Harrow,2023,1.0,4930.0
Harrow,2023,2.0,5144.0
Harrow,2023,3.0,4244.0
Havering,2021,1.0,2664.0
Havering,2021,2.0,2675.0
Havering,2021,3.0,2785.0
Havering,2021,4.0,2532.0
Havering,2022,1.0,3664.0
Havering,2022,2.0,3656.0
Havering,2022,3.0,3356.0
Havering,2022,4.0,3980.0
Havering,2023,1.0,6675.333333333333
Havering,2023,2.0,6140.0
Havering,2023,3.0,6565.0
Hillingdon,2021,1.0,4012.3333333333335
Hillingdon,2021,2.0,4331.0
Hillingdon,2021,3.0,4215.0
Hillingdon,2021,4.0,3491.0
Hillingdon,2022,1.0,6105.333333333333
Hillingdon,2022,2.0,8267.0
Hillingdon,2022,3.0,5334.0
Hillingdon,2022,4.0,4715.0
Hillingdon,2023,1.0,8659.333333333334
Hillingdon,2023,2.0,7895.0
Hillingdon,2023,3.0,9082.0
Hounslow,2021,1.0,3568.6666666666665
Hounslow,2021,2.0,4205.0
Hounslow,2021,3.0,3892.0
Hounslow,2021,4.0,2609.0
Hounslow,2022,1.0,4266.333333333333
Hounslow,2022,2.0,3221.0
Hounslow,2022,3.0,5206.0
Hounslow,2022,4.0,4372.0
Hounslow,2023,1.0,7983.333333333333
Hounslow,2023,2.0,7673.0
Hounslow,2023,3.0,6352.0
Islington,2021,1.0,4579.333333333333
Islington,2021,2.0,4960.0
Islington,2021,3.0,4067.0
Islington,2021,4.0,4711.0
Islington,2022,1.0,5233.333333333333
Islington,2022,2.0,4105.0
Islington,2022,3.0,7130.0
Islington,2022,4.0,4465.0
Islington,2023,1.0,9638.333333333334
Islington,2023,2.0,10032.0
Islington,2023,3.0,8129.0
Kensington and Chelsea,2021,1.0,3227.6666666666665
Kensington and Chelsea,2021,2.0,3212.0
Kensington and Chelsea,2021,3.0,3649.0
Kensington and Chelsea,2021,4.0,2822.0
Kensington and Chelsea,2022,1.0,5814.666666666667
Kensington and Chelsea,2022,2.0,3353.0
Kensington and Chelsea,2022,3.0,8075.0
Kensington and Chelsea,2022,4.0,6016.0
Kensington and Chelsea,2023,1.0,6333.0
Kensington and Chelsea,2023,2.0,4846.0
Kensington and Chelsea,2023,3.0,6712.0
Kingston upon Thames,2021,1.0,1790.3333333333333
Kingston upon Thames,2021,2.0,1657.0
Kingston upon Thames,2021,3.0,2042.0
Kingston upon Thames,2021,4.0,1672.0
Kingston upon Thames,2022,1.0,2295.6666666666665
Kingston upon Thames,2022,2.0,1771.0
Kingston upon Thames,2022,3.0,2335.0
Kingston upon Thames,2022,4.0,2781.0
Kingston upon Thames,2023,1.0,3414.6666666666665
Kingston upon Thames,2023,2.0,2868.0
Kingston upon Thames,2023,3.0,3401.0
Lambeth,2021,1.0,5375.666666666667
Lambeth,2021,2.0,5179.0
Lambeth,2021,3.0,5839.0
Lambeth,2021,4.0,5109.0
Lambeth,2022,1.0,6118.333333333333
Lambeth,2022,2.0,4527.0
Lambeth,2022,3.0,6776.0
Lambeth,2022,4.0,7052.0
Lambeth,2023,1.0,10602.666666666666
Lambeth,2023,2.0,9716.0
Lambeth,2023,3.0,9981.0
Lewisham,2021,1.0,3876.0
Lewisham,2021,2.0,3921.0
Lewisham,2021,3.0,4421.0
Lewisham,2021,4.0,3286.0
Lewisham,2022,1.0,5783.333333333333
Lewisham,2022,2.0,5407.0
Lewisham,2022,3.0,5841.0
Lewisham,2022,4.0,6102.0
Lewisham,2023,1.0,8702.0
Lewisham,2023,2.0,8325.0
Lewisham,2023,3.0,8758.0
Merton,2021,1.0,1925.3333333333333
Merton,2021,2.0,2086.0
Merton,2021,3.0,2136.0
Merton,2021,4.0,1554.0
Merton,2022,1.0,2663.3333333333335
Merton,2022,2.0,1871.0
Merton,2022,3.0,2979.0
Merton,2022,4.0,3140.0
Merton,2023,1.0,4046.0
Merton,2023,2.0,3239.0
Merton,2023,3.0,3959.0
Newham,2021,1.0,4902.333333333333
Newham,2021,2.0,4859.0
Newham,2021,3.0,5557.0
Newham,2021,4.0,4291.0
Newham,2022,1.0,6610.0
Newham,2022,2.0,6174.0
Newham,2022,3.0,6921.0
Newham,2022,4.0,6735.0
Newham,2023,1.0,11191.333333333334
Newham,2023,2.0,9306.0
Newham,2023,3.0,10405.0
Redbridge,2021,1.0,3920.0
Redbridge,2021,2.0,4072.0
Redbridge,2021,3.0,4204.0
Redbridge,2021,4.0,3484.0
Redbridge,2022,1.0,4610.666666666667
Redbridge,2022,2.0,3806.0
Redbridge,2022,3.0,6132.0
Redbridge,2022,4.0,3894.0
