Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,Borough,time_identifier
Person search,2023-05-22 12:00:00,False,,51.537234,-0.369799,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Ealing,Summer term
Person search,2023-05-22 12:01:00,False,,51.432762,0.026241,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,Lewisham,Summer term
Person search,2023-05-22 12:20:00,False,,51.413718,-0.286131,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest,,,Kingston upon Thames,Summer term
Person search,2023-05-22 12:45:00,False,,51.342028,-0.064934,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Croydon,Summer term
Person search,2023-05-22 12:53:00,False,,51.510476,-0.3184,Male,10-17,Asian/Asian British - Any other Asian background,Other,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Ealing,Summer term
Person search,2023-05-22 13:00:00,False,,51.410242,-0.301273,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Caution (simple or conditional),,,Kingston upon Thames,Summer term
Person search,2023-05-22 13:15:00,False,,,,Male,10-17,White - Irish,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Unknown,Summer term
Person search,2023-05-22 13:18:00,False,,51.429636,-0.029859,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Lewisham,Summer term
Person search,2023-05-22 14:10:00,False,,51.523378,-0.122125,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Camden,Summer term
Person search,2023-05-22 14:16:00,False,,51.51282,-0.295169,Male,10-17,Asian/Asian British - Any other Asian background,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Ealing,Summer term
