Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,Borough,time_identifier
Person search,2022-09-01 00:20:00,False,,51.53635,-0.090113,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,Islington,Autumn term
Person search,2022-09-01 02:14:00,False,,51.5227,-0.078576,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Hackney,Autumn term
Person search,2022-09-01 02:30:00,False,,,,Male,10-17,Asian/Asian British - Bangladeshi,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 04:00:00,False,,51.516178,-0.131904,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,Islington,Autumn term
Person search,2022-09-01 04:20:00,False,,51.516178,-0.131904,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,Islington,Autumn term
Person search,2022-09-01 07:30:00,False,,,,Male,10-17,Other ethnic group - Not stated,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,Unknown,Autumn term
Person search,2022-09-01 08:30:00,False,,,,Male,10-17,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,Unknown,Autumn term
Person and Vehicle search,2022-09-01 10:25:00,False,,,,Male,10-17,Other ethnic group - Not stated,Other,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Penalty Notice for Disorder,,,Unknown,Autumn term
Person search,2022-09-01 11:00:00,False,,51.378124,-0.102799,Male,10-17,Other ethnic group - Any other ethnic group,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,Croydon,Autumn term
Person search,2022-09-01 11:42:00,False,,51.491761,-0.232687,Male,10-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,,,Hammersmith and Fulham,Autumn term
Person search,2022-09-01 11:57:00,False,,51.479737,-0.210053,Female,10-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Hammersmith and Fulham,Autumn term
Person search,2022-09-01 11:57:00,False,,51.479737,-0.210053,Male,10-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Hammersmith and Fulham,Autumn term
Person search,2022-09-01 12:30:00,False,,,,Male,10-17,Other ethnic group - Any other ethnic group,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Unknown,Autumn term
Person search,2022-09-01 12:48:00,False,,51.584983,-0.328266,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Harrow,Autumn term
Person search,2022-09-01 12:55:00,False,,51.584983,-0.328266,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Harrow,Autumn term
Person search,2022-09-01 14:03:00,False,,,,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 14:03:00,False,,51.51309,-0.135043,Female,10-17,Asian/Asian British - Chinese,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Islington,Autumn term
Person search,2022-09-01 14:10:00,False,,51.593487,-0.106674,Male,10-17,Other ethnic group - Any other ethnic group,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Haringey,Autumn term
Person search,2022-09-01 14:12:00,False,,,,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 14:15:00,False,,51.51309,-0.135043,Male,10-17,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Islington,Autumn term
Person search,2022-09-01 14:19:00,False,,,,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 14:20:00,False,,,,Male,10-17,Other ethnic group - Not stated,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 14:25:00,False,,51.408617,-0.300787,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Kingston upon Thames,Autumn term
Person search,2022-09-01 14:25:00,False,,51.557832,0.093858,Male,10-17,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Redbridge,Autumn term
Person search,2022-09-01 14:32:00,False,,,,Male,10-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 14:45:00,False,,51.423959,-0.129051,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Lambeth,Autumn term
Person search,2022-09-01 14:45:00,False,,51.539654,-0.102521,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Islington,Autumn term
Person search,2022-09-01 14:55:00,False,,51.549568,-0.055015,Male,10-17,Asian/Asian British - Indian,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Hackney,Autumn term
Person search,2022-09-01 15:00:00,False,,51.481233,-0.027046,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Lewisham,Autumn term
Person and Vehicle search,2022-09-01 15:00:00,False,,51.499911,-0.089519,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Southwark,Autumn term
Person search,2022-09-01 15:10:00,False,,51.373681,-0.101675,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Croydon,Autumn term
Person and Vehicle search,2022-09-01 15:13:00,False,,51.47616,-0.093291,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Southwark,Autumn term
Person search,2022-09-01 15:15:00,False,,51.456694,-0.24311,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,Wandsworth,Autumn term
Person search,2022-09-01 15:16:00,False,,51.448273,-0.130058,Male,10-17,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Lambeth,Autumn term
Person search,2022-09-01 15:21:00,False,,51.375628,-0.101365,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Croydon,Autumn term
Person search,2022-09-01 15:21:00,False,,51.375628,-0.101365,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Croydon,Autumn term
Person search,2022-09-01 15:28:00,False,,51.485592,-0.081029,Male,10-17,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Southwark,Autumn term
Person search,2022-09-01 15:40:00,False,,51.540882,-0.003701,Female,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Newham,Autumn term
Person search,2022-09-01 15:45:00,False,,51.466207,-0.110623,Male,10-17,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Lambeth,Autumn term
Person search,2022-09-01 15:48:00,False,,51.46325,-0.11122,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Lambeth,Autumn term
Person search,2022-09-01 15:49:00,False,,51.540882,-0.003701,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Newham,Autumn term
Person search,2022-09-01 15:50:00,False,,51.539941,-0.135589,Male,10-17,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Camden,Autumn term
Person search,2022-09-01 15:50:00,False,,51.538418,0.078142,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,Barking and Dagenham,Autumn term
Person search,2022-09-01 15:53:00,False,,51.459086,-0.003212,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Lewisham,Autumn term
Person search,2022-09-01 15:55:00,False,,51.538418,0.078142,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Barking and Dagenham,Autumn term
Person search,2022-09-01 15:59:00,False,,51.574424,-0.012117,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Waltham Forest,Autumn term
Person search,2022-09-01 16:00:00,False,,51.538108,0.07683,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,Barking and Dagenham,Autumn term
Person search,2022-09-01 16:00:00,False,,51.538108,0.07683,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Barking and Dagenham,Autumn term
Person search,2022-09-01 16:00:00,False,,,,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 16:20:00,False,,51.540882,-0.003701,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,,Newham,Autumn term
Person search,2022-09-01 16:20:00,False,,,,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 16:21:00,False,,51.476245,-0.08086,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Redbridge,Autumn term
Person search,2022-09-01 16:23:00,False,,51.540882,-0.003701,Female,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Newham,Autumn term
Person search,2022-09-01 16:24:00,False,,,,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 16:25:00,False,,51.54117,-0.003183,Female,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Newham,Autumn term
Person search,2022-09-01 16:30:00,False,,51.536275,-0.19147,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Camden,Autumn term
Person search,2022-09-01 16:41:00,False,,51.511621,-0.176017,Male,10-17,Asian/Asian British - Any other Asian background,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 17:01:00,False,,51.523629,-0.053136,Male,10-17,Asian/Asian British - Bangladeshi,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Tower Hamlets,Autumn term
Person search,2022-09-01 17:26:00,False,,51.58144,-0.100189,Female,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,,Haringey,Autumn term
Person search,2022-09-01 17:32:00,False,,51.54114,-0.256819,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Brent,Autumn term
Person search,2022-09-01 17:35:00,False,,,,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,,Unknown,Autumn term
Person search,2022-09-01 17:40:00,False,,51.58144,-0.100189,Female,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Haringey,Autumn term
Person search,2022-09-01 17:40:00,False,,,,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,,Unknown,Autumn term
Person search,2022-09-01 17:40:00,False,,51.58144,-0.100189,Female,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Haringey,Autumn term
Person search,2022-09-01 17:40:00,False,,51.58144,-0.100189,Female,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Haringey,Autumn term
Person search,2022-09-01 17:42:00,False,,51.58144,-0.100189,Female,10-17,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Haringey,Autumn term
Person search,2022-09-01 17:43:00,False,,,,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,,Unknown,Autumn term
Person search,2022-09-01 17:43:00,False,,51.577845,-0.105318,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Haringey,Autumn term
Person search,2022-09-01 17:43:00,False,,51.577845,-0.105318,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Haringey,Autumn term
Person search,2022-09-01 17:43:00,False,,51.577845,-0.105318,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Haringey,Autumn term
Person search,2022-09-01 17:45:00,False,,51.58144,-0.100189,Female,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Haringey,Autumn term
Person search,2022-09-01 17:45:00,False,,51.583687,-0.120188,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Haringey,Autumn term
Person search,2022-09-01 17:45:00,False,,51.476214,-0.050591,Male,10-17,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Lewisham,Autumn term
Person search,2022-09-01 17:45:00,False,,51.577845,-0.105318,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Haringey,Autumn term
Person search,2022-09-01 17:48:00,False,,51.577845,-0.105318,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Haringey,Autumn term
Person search,2022-09-01 17:58:00,False,,51.58144,-0.100189,Female,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Haringey,Autumn term
Person search,2022-09-01 17:58:00,False,,51.58144,-0.100189,Female,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Haringey,Autumn term
Person search,2022-09-01 18:00:00,False,,51.540273,-0.260846,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Brent,Autumn term
Person search,2022-09-01 18:10:00,False,,51.373464,-0.0994,Male,10-17,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Croydon,Autumn term
Person search,2022-09-01 18:13:00,False,,51.577151,0.177706,Male,10-17,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 18:20:00,False,,51.58144,-0.100189,Female,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Haringey,Autumn term
Person search,2022-09-01 18:30:00,False,,,,Male,10-17,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 18:30:00,False,,51.545504,-0.007883,Male,10-17,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Newham,Autumn term
Person search,2022-09-01 18:30:00,False,,51.483491,-0.103398,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Southwark,Autumn term
Person search,2022-09-01 18:30:00,False,,51.590485,-0.10342,Male,10-17,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Haringey,Autumn term
Person search,2022-09-01 18:38:00,False,,51.492345,0.075254,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 18:40:00,False,,51.540882,-0.003701,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Newham,Autumn term
Person search,2022-09-01 18:42:00,False,,,,Male,10-17,Other ethnic group - Any other ethnic group,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Unknown,Autumn term
Person search,2022-09-01 18:45:00,False,,51.540882,-0.003701,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Newham,Autumn term
Person search,2022-09-01 18:45:00,False,,51.465059,-0.32246,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Richmond upon Thames,Autumn term
Person search,2022-09-01 18:49:00,False,,51.465059,-0.32246,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Richmond upon Thames,Autumn term
Person search,2022-09-01 18:50:00,False,,51.426541,-0.332904,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Unknown,Autumn term
Person search,2022-09-01 19:01:00,False,,51.489024,-0.080842,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Southwark,Autumn term
Person search,2022-09-01 19:04:00,False,,,,Male,10-17,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 19:15:00,False,,51.515088,-0.140222,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,,Islington,Autumn term
Person search,2022-09-01 19:30:00,False,,,,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 19:40:00,False,,,,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 19:40:00,False,,51.561664,-0.080194,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Hackney,Autumn term
Person search,2022-09-01 19:44:00,False,,51.493584,0.074345,Male,10-17,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Unknown,Autumn term
Person search,2022-09-01 19:45:00,False,,,,Female,10-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-01 19:45:00,False,,51.493584,0.074345,Male,10-17,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Unknown,Autumn term
Person search,2022-09-01 19:45:00,False,,51.493584,0.074345,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Unknown,Autumn term
Person search,2022-09-01 19:54:00,False,,51.564506,-0.136576,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Islington,Autumn term
Person search,2022-09-01 20:00:00,False,,51.549464,-0.106396,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Islington,Autumn term
Person search,2022-09-01 20:26:00,False,,51.49608,-0.05882,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Southwark,Autumn term
Person search,2022-09-01 20:30:00,False,,51.505763,-0.300245,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Ealing,Autumn term
Person search,2022-09-01 20:30:00,False,,51.505763,-0.300245,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Ealing,Autumn term
Person search,2022-09-01 20:40:00,False,,51.507115,-0.144408,Male,10-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,,,Unknown,Autumn term
Person search,2022-09-01 20:48:00,False,,51.581261,-0.071026,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Haringey,Autumn term
Person and Vehicle search,2022-09-01 21:00:00,False,,51.510226,-0.234682,Male,10-17,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Hammersmith and Fulham,Autumn term
Person and Vehicle search,2022-09-01 21:30:00,False,,51.512562,-0.231623,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,Hammersmith and Fulham,Autumn term
Person search,2022-09-02 02:57:00,False,,51.523344,-0.161998,Male,10-17,Asian/Asian British - Any other Asian background,Other,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-02 06:58:00,False,,51.481237,-0.278402,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Richmond upon Thames,Autumn term
Person search,2022-09-02 07:48:00,False,,,,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-02 11:10:00,False,,51.47616,-0.093291,Male,10-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Southwark,Autumn term
Person search,2022-09-02 11:14:00,False,,51.519073,-0.171222,Male,10-17,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-02 12:50:00,False,,51.377015,-0.178571,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,A no further action disposal,,,Sutton,Autumn term
Person search,2022-09-02 13:00:00,False,,,,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-02 13:25:00,False,,51.614401,-0.053732,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Enfield,Autumn term
Person search,2022-09-02 13:30:00,False,,51.470521,-0.108745,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Lambeth,Autumn term
Person search,2022-09-02 13:46:00,False,,51.525766,-0.065977,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,Tower Hamlets,Autumn term
Person search,2022-09-02 14:00:00,False,,51.478247,-0.085024,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Southwark,Autumn term
Person search,2022-09-02 14:37:00,False,,51.488608,-0.309151,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Hounslow,Autumn term
Person search,2022-09-02 14:37:00,False,,51.470521,-0.108745,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Lambeth,Autumn term
Person search,2022-09-02 14:48:00,False,,51.446167,-0.412935,Male,10-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Hounslow,Autumn term
Person search,2022-09-02 14:55:00,False,,51.469424,-0.275578,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,Richmond upon Thames,Autumn term
Person search,2022-09-02 15:00:00,False,,,,Male,10-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,Unknown,Autumn term
Person search,2022-09-02 15:05:00,False,,51.44668,-0.328199,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,Richmond upon Thames,Autumn term
